Gender,Age,Field of Study,Monthly Income,Shopping Frequency,Favorite Product Type,Shopping Channel,Purchase Factor,Buy on Promotion,Delivery Impact,Purchase Time,Purchase Place,Satisfaction Level,Improvement Needed,Info Source,Social Media Influence
Female,Under 18,Other,"10,001-15,000 THB",More than 4 times,Clothing/Fashion,Other,Discounts/Promotions,No,High Impact,Afternoon,Other,Moderately Satisfied,Delivery Speed,Review Websites,Yes
Male,18-22,Science,"5,000-10,000 THB",0-1 times,Clothing/Fashion,Websites,Price,Yes,High Impact,Late Night,Home,Very Satisfied,Delivery Speed,Store Apps,Yes
Other,Over 25,Engineering,"Above 15,000 THB",More than 4 times,Clothing/Fashion,Websites,Discounts/Promotions,No,No Impact,Morning,Work,Not Satisfied,Delivery Speed,Review Websites,No
Male,Over 25,Liberal Arts,"Below 5,000 THB",2-4 times,Books/Learning Materials,Websites,Convenience,Yes,Moderate Impact,Late Night,Other,Very Satisfied,Ease of Selection,Other,No
Female,23-25,Other,"10,001-15,000 THB",0-1 times,Books/Learning Materials,Websites,Discounts/Promotions,Yes,No Impact,Late Night,Other,Not Satisfied,Customer Service,Store Apps,Yes
Male,23-25,Engineering,"5,000-10,000 THB",2-4 times,Daily Necessities,Other,Price,No,No Impact,Afternoon,Home,Not Satisfied,Customer Service,Social Media,No
Male,Over 25,Other,"10,001-15,000 THB",More than 4 times,Electronics,Websites,Product Warranty,No,Moderate Impact,Evening/Night,Work,Very Satisfied,Customer Service,Review Websites,No
Other,Over 25,Science,"5,000-10,000 THB",0-1 times,Cosmetics,Social Media,Discounts/Promotions,Yes,Moderate Impact,Morning,Work,Very Satisfied,Payment,Other,Yes
Female,23-25,Other,"Below 5,000 THB",More than 4 times,Daily Necessities,Mobile Applications,Discounts/Promotions,Yes,No Impact,Late Night,University,Not Satisfied,Payment,Review Websites,Yes
Other,Under 18,Liberal Arts,"5,000-10,000 THB",More than 4 times,Electronics,Other,Discounts/Promotions,No,High Impact,Afternoon,University,Very Satisfied,Ease of Selection,Social Media,Yes
Other,18-22,Science,"5,000-10,000 THB",2-4 times,Electronics,Websites,Product Reviews,Yes,No Impact,Afternoon,Work,Moderately Satisfied,Delivery Speed,Review Websites,No
Male,23-25,Other,"10,001-15,000 THB",More than 4 times,Clothing/Fashion,Mobile Applications,Product Reviews,Yes,No Impact,Evening/Night,Other,Not Satisfied,Delivery Speed,Other,Yes
Male,18-22,Engineering,"5,000-10,000 THB",More than 4 times,Clothing/Fashion,Mobile Applications,Product Warranty,Yes,High Impact,Evening/Night,University,Moderately Satisfied,Customer Service,Other,Yes
